time,command,current,temperature
2020-03-26 19:17:33.569351,25.0,-0.255,24.995
2020-03-26 19:17:33.605314,25.0,0.009,24.948
2020-03-26 19:17:33.653265,25.0,0.001,25.008
2020-03-26 19:17:33.701213,25.0,0.32,25.064
2020-03-26 19:17:33.749163,25.0,0.375,25.033
2020-03-26 19:17:33.796684,25.0,0.129,24.971
2020-03-26 19:17:33.844635,25.0,0.0,24.958
2020-03-26 19:17:33.892586,25.0,0.083,25.002
2020-03-26 19:17:33.939537,25.0,0.274,25.027
2020-03-26 19:17:33.987488,25.0,0.258,25.001
2020-03-26 19:17:34.035437,25.0,0.102,24.965
2020-03-26 19:17:34.083387,25.0,0.036,24.967
2020-03-26 19:17:34.131338,25.0,0.036,24.998
2020-03-26 19:17:34.179288,25.0,0.13,25.007
2020-03-26 19:17:34.227241,25.0,0.236,24.984
2020-03-26 19:17:34.275195,25.0,0.195,24.967
2020-03-26 19:17:34.322146,25.0,0.088,24.976
2020-03-26 19:17:34.370097,25.0,0.083,24.992
2020-03-26 19:17:34.417740,25.0,0.158,24.992
2020-03-26 19:17:34.465690,25.0,0.194,24.982
2020-03-26 19:17:34.513641,25.0,0.155,24.982
2020-03-26 19:17:34.561591,25.0,0.117,24.971
2020-03-26 19:17:34.609543,25.0,0.102,24.978
2020-03-26 19:17:34.657494,25.0,0.154,24.987
2020-03-26 19:17:34.705444,25.0,0.169,24.987
2020-03-26 19:17:34.753393,25.0,0.147,24.98
2020-03-26 19:17:34.800344,25.0,0.121,24.978
2020-03-26 19:17:34.848296,25.0,0.131,24.982
2020-03-26 19:17:34.896245,25.0,0.15,24.983
2020-03-26 19:17:34.944197,25.0,0.143,24.983
2020-03-26 19:17:34.991875,25.0,0.141,24.978
2020-03-26 19:17:35.039826,25.0,0.124,24.979
2020-03-26 19:17:35.087777,25.0,0.137,24.983
2020-03-26 19:17:35.135726,25.0,0.15,24.983
2020-03-26 19:17:35.183676,25.0,0.14,24.984
2020-03-26 19:17:35.231626,25.0,0.144,24.982
2020-03-26 19:17:35.278579,25.0,0.144,24.978
2020-03-26 19:17:35.326530,25.0,0.134,24.98
2020-03-26 19:17:35.374480,25.0,0.124,24.982
2020-03-26 19:17:35.422428,25.0,0.139,24.987
2020-03-26 19:17:35.470381,25.0,0.142,24.982
2020-03-26 19:17:35.518330,25.0,0.157,24.982
